epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,8278.87,0.88883,0.5602,0.80695,0.73921,0.64966,0.71644,0.31726,1.82227,1.36734,0.78317,0.00366899,0.00366899,0.00366899
61,16471.2,0.71329,0.36182,0.79297,0.78076,0.51939,0.61357,0.33991,1.56401,1.92683,0.76283,0.00352037,0.00352037,0.00352037
62,24661.1,0.66554,0.32653,0.78664,0.77388,0.58333,0.63249,0.3619,1.5806,1.7202,0.755,0.00337325,0.00337325,0.00337325
63,32695.3,0.62939,0.31005,0.78345,0.77545,0.60417,0.71658,0.36132,1.52239,1.51119,0.74308,0.00322778,0.00322778,0.00322778
64,40678.4,0.60989,0.29496,0.78261,0.80039,0.58478,0.69049,0.35019,1.39037,1.50041,0.74105,0.00308412,0.00308412,0.00308412
65,48728.7,0.59557,0.28841,0.78039,0.69178,0.77083,0.71513,0.35861,1.53744,1.58343,0.75089,0.00294239,0.00294239,0.00294239
66,56877.5,0.56517,0.27621,0.78034,0.65147,0.58333,0.67867,0.37546,1.52385,1.65303,0.7491,0.00280275,0.00280275,0.00280275
67,65033.1,0.56167,0.27504,0.77826,0.72851,0.58333,0.66302,0.40805,1.32411,1.5844,0.74441,0.00266532,0.00266532,0.00266532
68,73043.6,0.54363,0.26622,0.77929,0.76037,0.5625,0.66004,0.37999,1.3812,1.58086,0.74734,0.00253024,0.00253024,0.00253024
69,81015.8,0.54644,0.26666,0.78134,0.70451,0.54648,0.65246,0.37957,1.32271,1.62015,0.74626,0.00239766,0.00239766,0.00239766
70,89076.1,0.5331,0.2625,0.77801,0.74716,0.5,0.648,0.38206,1.41316,1.61751,0.74724,0.00226769,0.00226769,0.00226769
71,97220.9,0.54136,0.26124,0.77791,0.68194,0.54167,0.64551,0.35928,1.4439,1.75219,0.75051,0.00214046,0.00214046,0.00214046
72,105275,0.5138,0.25235,0.778,0.79355,0.56062,0.66602,0.36964,1.38855,1.64179,0.74434,0.00201611,0.00201611,0.00201611
73,113371,0.53622,0.26128,0.77751,0.7317,0.58333,0.67367,0.40537,1.37541,1.60554,0.74586,0.00189475,0.00189475,0.00189475
74,121391,0.52681,0.25776,0.77771,0.77916,0.5625,0.66046,0.3797,1.44407,1.80325,0.75616,0.00177651,0.00177651,0.00177651
75,129426,0.51322,0.25357,0.77692,0.75886,0.54167,0.66288,0.39741,1.35934,1.8087,0.75459,0.00166149,0.00166149,0.00166149
76,137393,0.5165,0.25301,0.77694,0.7766,0.58333,0.7009,0.43159,1.38537,1.70336,0.74607,0.00154982,0.00154982,0.00154982
77,145331,0.50809,0.24889,0.77518,0.7727,0.58333,0.69542,0.42157,1.41945,1.67119,0.74762,0.00144161,0.00144161,0.00144161
78,153378,0.51383,0.25192,0.7774,0.77122,0.58333,0.6828,0.40443,1.4553,1.87116,0.75117,0.00133695,0.00133695,0.00133695
79,161460,0.50423,0.24712,0.77478,0.76294,0.58333,0.68914,0.4001,1.47988,1.79865,0.75254,0.00123596,0.00123596,0.00123596
80,169573,0.50112,0.24494,0.77497,0.77132,0.58333,0.69665,0.42683,1.36023,1.79837,0.74313,0.00113873,0.00113873,0.00113873
81,177587,0.49502,0.24403,0.77628,0.71413,0.5625,0.68378,0.43578,1.33128,1.98528,0.7513,0.00104537,0.00104537,0.00104537
82,185663,0.49391,0.24238,0.77674,0.77028,0.58333,0.68568,0.42135,1.376,1.95443,0.74972,0.000955951,0.000955951,0.000955951
83,193873,0.49502,0.24297,0.77719,0.77288,0.58333,0.69645,0.43547,1.34321,1.83307,0.74786,0.000870577,0.000870577,0.000870577
84,201955,0.49716,0.24161,0.77773,0.77311,0.58333,0.69248,0.42751,1.34428,1.88248,0.74892,0.000789327,0.000789327,0.000789327
85,210058,0.50054,0.24325,0.77526,0.77213,0.58333,0.69146,0.42105,1.33181,1.84914,0.74446,0.000712282,0.000712282,0.000712282
86,218189,0.49102,0.23798,0.77623,0.77278,0.58333,0.69628,0.43677,1.3427,1.89085,0.74525,0.000639518,0.000639518,0.000639518
87,226383,0.48713,0.24,0.77579,0.78125,0.58333,0.69878,0.4381,1.36559,2.01213,0.74985,0.000571106,0.000571106,0.000571106
88,234419,0.48586,0.23682,0.77695,0.79292,0.58333,0.68139,0.42956,1.38864,1.86739,0.74496,0.000507115,0.000507115,0.000507115
89,242514,0.48653,0.23807,0.7755,0.79172,0.58333,0.69547,0.43165,1.36374,1.86628,0.74569,0.000447606,0.000447606,0.000447606
90,250524,0.47868,0.23433,0.77524,0.79389,0.58333,0.69552,0.43575,1.36361,1.93583,0.7458,0.00039264,0.00039264,0.00039264
91,258396,0.51099,0.24537,0.775,0.84695,0.54167,0.69621,0.42262,1.39516,1.95328,0.74389,0.00034227,0.00034227,0.00034227
92,266362,0.50932,0.24322,0.77547,0.87245,0.5625,0.70579,0.42574,1.38677,1.93539,0.74271,0.000296546,0.000296546,0.000296546
93,274660,0.51005,0.242,0.77694,0.87449,0.58069,0.68738,0.44199,1.33493,1.91573,0.74313,0.000255513,0.000255513,0.000255513
