epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,975.953,0.5955,0.38778,0.77865,0.84161,0.66425,0.82168,0.41225,1.77911,1.47653,0.76762,0.00729725,0.00729725,0.00729725
2,1939.11,0.55995,0.31452,0.78135,0.97421,0.5,0.75751,0.41504,1.5124,1.96622,0.73716,0.00715761,0.00715761,0.00715761
3,2901.02,0.56813,0.30653,0.78273,0.84632,0.68838,0.81766,0.43806,1.44265,1.3789,0.74934,0.00701588,0.00701588,0.00701588
4,3865.02,0.5327,0.2847,0.77779,0.98329,0.64583,0.82452,0.44434,1.42486,1.29266,0.74682,0.00687222,0.00687222,0.00687222
5,4828.9,0.53912,0.28173,0.77796,0.84502,0.68167,0.79509,0.41133,1.59119,1.49046,0.75064,0.00672675,0.00672675,0.00672675
6,5797.88,0.50042,0.26472,0.77942,0.99808,0.64583,0.7974,0.42569,1.59457,1.55027,0.74619,0.00657963,0.00657963,0.00657963
7,6771.75,0.5146,0.27263,0.77641,0.98607,0.66667,0.79542,0.43645,1.58546,1.91984,0.74924,0.00643101,0.00643101,0.00643101
8,7731.62,0.51204,0.26799,0.77678,1,0.61325,0.78119,0.4303,1.64736,1.78803,0.75154,0.00628101,0.00628101,0.00628101
9,8692.03,0.49671,0.26379,0.77819,1,0.64405,0.83046,0.45004,1.49401,1.39966,0.74536,0.00612981,0.00612981,0.00612981
10,9649.36,0.50979,0.26497,0.77643,0.96743,0.61893,0.8104,0.44034,1.38536,1.42812,0.74441,0.00597754,0.00597754,0.00597754
11,10607.3,0.4967,0.26243,0.77656,1,0.62474,0.80958,0.4625,1.42314,1.55757,0.74753,0.00582435,0.00582435,0.00582435
12,11565.4,0.48763,0.25627,0.77692,0.98625,0.625,0.79555,0.44695,1.43311,1.9545,0.74531,0.0056704,0.0056704,0.0056704
13,12523.4,0.45685,0.24223,0.77527,0.9679,0.62824,0.82147,0.46853,1.39309,1.63089,0.73849,0.00551584,0.00551584,0.00551584
14,13482.7,0.4752,0.25122,0.7764,0.94886,0.625,0.82356,0.50282,1.25907,1.3982,0.73287,0.00536081,0.00536081,0.00536081
15,14443.2,0.47941,0.25245,0.77642,1,0.64409,0.83961,0.48726,1.34733,1.60306,0.74696,0.00520548,0.00520548,0.00520548
16,15425.2,0.48511,0.25492,0.77708,1,0.64577,0.81881,0.47298,1.4106,1.37144,0.7406,0.00505,0.00505,0.00505
